"","commit_id","author_date","bugcount","fixcount","la","ld","nf","nd","ns","ent","revd","nrev","rtime","hcmt","self","ndev","age","nuc","app","aexp","rexp","oexp","arexp","rrexp","orexp","asexp","rsexp","osexp","asawr","rsawr","osawr","churn","buggy","fix","bugdens","strata"
"6","00057454f6609871c2cabf874876d26a6d0d0641",1358516662,0,0,2,2,2,2,1,1,TRUE,1,6495227,4,FALSE,6,170682,7,2,12,354,366,10,354,364,0,259,259,0.00347222222222222,0.902777777777778,0.902777777777778,4,FALSE,FALSE,0,"2"
"9","0007d255d9b20da4e5bbcdbaf5813104fbc092da",1358353428,0,0,9,6,1,1,1,0,TRUE,1,1616714,10,FALSE,4,7448,5,6,310,1343,1547,304,1251,1451,6,276,277,0.0247349823321555,0.978798586572438,0.982332155477032,15,FALSE,FALSE,0,"2"
"11","0014f2c828dae5f9481a2bac68fe90a7857b2f59",1377995125,0,0,7,8,2,1,1,0.996791631981637,TRUE,1,175209,3,FALSE,17,277757,26,3,122,425,449,122,398,422,89,257,275,0.2,0.573333333333333,0.613333333333333,15,FALSE,FALSE,0,"3"
"14","001961ed495a33cc944407888a2797f8a600e091",1367268702,0,0,6,0,1,1,1,0,TRUE,6,250793,15,FALSE,31,4262413,69,6,1062,2259,2903,1026,1932,2559,958,1922,2506,0.217115689381933,0.435363368802355,0.567579805297713,6,FALSE,FALSE,0,"2"
"23","0038e3818393415fc9628aef2747136a626682ee",1341252518,0,0,23,17,3,3,1,0.180696361576786,TRUE,5,318441,19,FALSE,69,283118.333333333,234,4,44,622,622,44,622,622,27,536,536,0.0156774916013438,0.3006718924972,0.3006718924972,40,FALSE,FALSE,0,"1"
"24","0043044f2e8ee3de8a9995bdbf51aad77f1a3fa9",1373357890,3,0,580,283,8,5,1,0.849501874917022,TRUE,2,112913,4,FALSE,5,280556.5,7,2,5,685,687,5,662,664,2,42,43,0.06,0.86,0.88,863,TRUE,FALSE,0.00347624565469293,"3"
"29","0057aed72c6e92fbc7bfe27eb9a30f191eed3fd4",1380799475,0,0,2,2,1,1,1,0,TRUE,3,619709,9,FALSE,6,311548,13,3,568,786,812,432,601,620,434,449,473,0.44478527607362,0.460122699386503,0.484662576687117,4,FALSE,FALSE,0,"3"
"31","00592cfa0b90c66682be2bc31428277c35a35c48",1331588951,0,0,2,2,2,1,1,1,TRUE,1,3361,5,FALSE,33,258411.5,104,3,75,628,673,75,628,673,71,595,636,0.0634361233480176,0.52511013215859,0.561233480176211,4,FALSE,FALSE,0,"0"
"33","005b9950ac84bf3ae06c24ee018f192064060428",1367521170,0,0,3,2,1,1,1,0,TRUE,3,1594747,7,FALSE,4,6045967,10,3,16,874,886,16,684,696,15,836,847,0.0036060401171963,0.188640973630832,0.191120126211404,5,FALSE,FALSE,0,"2"
"34","005ef0796270cb6238dc9863b468b0f1d7026e7c",1358916201,0,0,39,5,3,2,1,0.763995628403726,TRUE,10,2008805,21,FALSE,17,991240.333333333,32,3,5,1400,1404,5,1289,1293,5,1210,1214,0.00164518782561009,0.332053742802303,0.333150534686043,44,FALSE,FALSE,0,"2"
"35","005ff1100a11c83808471ece313d0f9001f4653c",1374603627,0,0,132,201,2,1,1,0.909022156087815,TRUE,7,784612,15,FALSE,17,994879.5,35,3,3,812,815,3,778,781,0,673,673,0.00132978723404255,0.896276595744681,0.896276595744681,333,FALSE,FALSE,0,"3"
"36","0061c0ce4443395a258a99c70e1c1a7d0435e84e",1340028045,1,0,462,1,4,3,1,0.584158392647551,TRUE,21,-32841526,30,FALSE,2,50945,2,3,15,53,55,15,53,55,14,45,46,0.132743362831858,0.407079646017699,0.415929203539823,463,TRUE,FALSE,0.00215982721382289,"1"
"37","006254c5050176c9b569007f6ef7203e6067215d",1344016566,0,0,15,3,1,1,1,0,TRUE,3,291966,4,FALSE,12,185436,24,2,799,880,880,797,878,878,304,346,346,0.707656612529002,0.805104408352668,0.805104408352668,18,FALSE,FALSE,0,"1"
