"","commit_id","author_date","bugcount","fixcount","la","ld","nf","nd","ns","ent","revd","nrev","rtime","hcmt","self","ndev","age","nuc","app","aexp","rexp","oexp","arexp","rrexp","orexp","asexp","rsexp","osexp","asawr","rsawr","osawr","churn","buggy","fix","bugdens","strata"
"31","00592cfa0b90c66682be2bc31428277c35a35c48",1331588951,0,0,2,2,2,1,1,1,TRUE,1,3361,5,FALSE,33,258411.5,104,3,75,628,673,75,628,673,71,595,636,0.0634361233480176,0.52511013215859,0.561233480176211,4,FALSE,FALSE,0,"0"
"45","006fea117307460544492a3548203a9ef31f34ba",1326777632,0,0,14,24,3,3,1,0.949157473779092,TRUE,1,47765,3,FALSE,19,248387.333333333,37,3,1,158,158,1,158,158,1,152,152,0.00364963503649635,0.279197080291971,0.279197080291971,38,FALSE,FALSE,0,"0"
"48","00786bc554a2dfacb3c6f02fbb7e9c98f35d4262",1338278278,0,0,162,139,6,4,2,0.537909531051905,TRUE,2,140121,7,FALSE,61,295465,186,2,314,202,454,314,202,454,260,178,387,0.161210623841878,0.110562075355158,0.239654107473749,301,FALSE,FALSE,0,"0"
"70","00ac2c725097567ab090079db799e70a6f549794",1325089072,0,0,2,2,1,1,1,0,TRUE,2,1178310,2,FALSE,2,1738681,1,4,127,335,335,127,335,335,25,103,103,0.228070175438596,0.912280701754386,0.912280701754386,4,FALSE,FALSE,0,"0"
"78","00c77e0e9af6ae16484e4bee5f33de1eeb812227",1329158817,0,0,24,18,2,2,1,0.526617065571428,TRUE,2,278570,4,FALSE,28,236682,61,3,14,644,649,14,643,648,14,532,537,0.0180940892641737,0.642943305186972,0.64897466827503,42,FALSE,FALSE,0,"0"
"107","010f8b14041090fe8a1ea57956b8d66dc382ecfe",1331157487,0,0,3,10,6,3,1,0.895883144486481,TRUE,2,70406,6,FALSE,42,63168,129,3,211,595,708,211,595,708,194,503,603,0.182584269662921,0.471910112359551,0.565543071161049,13,FALSE,FALSE,0,"0"
"136","014f67a2769720f4833bba74343cedf0e894151c",1328049743,0,0,1,1,1,1,1,0,TRUE,2,82591,4,FALSE,32,10451,42,3,28,352,366,28,352,366,20,273,282,0.0305676855895196,0.398835516739447,0.41193595342067,2,FALSE,FALSE,0,"0"
"166","01a938f7fe4dea274713e49f124fcc45702f80a0",1331023987,0,0,375,357,66,26,4,0.885077155986183,TRUE,8,201051,25,FALSE,89,108144.666666667,425,3,6,692,693,6,692,693,6,603,604,0.0062780269058296,0.541704035874439,0.542600896860987,732,FALSE,FALSE,0,"0"
"170","01afc61e6201ea22926f27e82280f0b3c6f2362f",1322641653,0,0,2,4,1,1,1,0,TRUE,1,102656,2,FALSE,4,707263,6,2,96,105,181,96,105,181,64,101,146,0.224137931034483,0.351724137931034,0.506896551724138,6,FALSE,FALSE,0,"0"
"189","01e6f7575a3c75bd73e297f3d9d003292e0a0e1e",1325731341,0,0,287,0,5,3,1,0.672218215651142,TRUE,8,13374337,19,FALSE,20,451825,33,2,94,356,410,94,355,409,94,254,308,0.204301075268817,0.548387096774194,0.664516129032258,287,FALSE,FALSE,0,"0"
"193","01f24caba86c987b0109f743979a4e99e8afed11",1333410067,0,0,99,2,5,3,1,0.8296891273882,TRUE,1,91025,2,FALSE,38,679589.6,86,2,1,538,539,1,538,539,0,519,519,0.000791765637371338,0.411718131433096,0.411718131433096,101,FALSE,FALSE,0,"0"
"207","02130b6f9ab6d3443918ae987b419d3b229b39fa",1329929705,0,0,16,2,2,2,1,0.503258334775646,TRUE,1,5609,5,FALSE,7,686883,14,3,64,296,334,63,296,333,59,268,304,0.0655021834061135,0.293668122270742,0.332969432314411,18,FALSE,FALSE,0,"0"
"232","0252c182cf535d4f9db1dc1c0df144430c39b1a1",1336086592,0,0,187,25,5,3,1,0.79258636732451,TRUE,4,1283878,11,FALSE,16,635496.8,33,2,33,735,759,33,734,758,1,255,256,0.00735294117647059,0.941176470588235,0.944852941176471,212,FALSE,FALSE,0,"0"
"276","02a9a18088b62d1c4c5aaafc44523d3dda6db527",1338334614,0,0,230,16,4,4,1,0.626692196343091,TRUE,9,1641454,10,FALSE,54,7498,145,2,5,931,934,5,931,934,5,762,765,0.00380469245402663,0.483830057070387,0.4857324032974,246,FALSE,FALSE,0,"0"
"281","02afb4d60c93169b9e2aeb7c907fa8919447d561",1331849268,0,0,1,2,1,1,1,0,TRUE,2,601687,6,FALSE,22,2516,45,2,55,844,871,55,843,870,2,16,17,0.0652173913043478,0.369565217391304,0.391304347826087,3,FALSE,FALSE,0,"0"
