"","commit_id","author_date","bugcount","fixcount","la","ld","nf","nd","ns","ent","revd","nrev","rtime","hcmt","self","ndev","age","nuc","app","aexp","rexp","oexp","arexp","rrexp","orexp","asexp","rsexp","osexp","asawr","rsawr","osawr","churn","buggy","fix","bugdens","strata"
"2","0001dcd3a2d67fe8832562746a293754a9a8d7a0",1339594674,0,0,53,42,8,4,1,0.846452008192131,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,95,FALSE,FALSE,0,"3"
"6","0008428f9088d1d6623dec5706d49cbf65692e28",1320409350,0,0,53,39,6,4,2,0.731369272596112,TRUE,2,31671,7,FALSE,19,466581.166666667,48,1,31,250,269,31,250,269,31,246,265,0.011343495214463,0.0875576036866359,0.0942928039702233,92,FALSE,FALSE,0,"1"
"11","0014ec0a65ec2ce6ef29938e552dae7aca90024d",1338165639,0,0,20,0,5,2,1,0.934977529767123,TRUE,1,143571,2,FALSE,5,8206525,9,1,20,510,522,20,504,516,19,257,269,0.00259470679813181,0.0334717176959004,0.0350285417747795,20,FALSE,FALSE,0,"3"
"14","001bd63e813cf19d1d6abbbfeb2599e6804807d5",1311258797,0,0,16,16,2,1,1,0.954434002924965,TRUE,2,14823,1,FALSE,3,21952,14,2,64,82,82,64,82,82,60,69,69,0.131182795698925,0.150537634408602,0.150537634408602,32,FALSE,FALSE,0,"0"
"20","002cb5d2c884793da85b8389a8283f3036438119",1323352176,0,0,1,0,1,1,1,0,TRUE,1,81697,2,FALSE,4,277102,12,3,60,211,211,60,211,211,31,81,81,0.0217687074829932,0.0557823129251701,0.0557823129251701,1,FALSE,FALSE,0,"1"
"22","003060e2928209b8028fa176b6c8b19777f1617b",1316432540,0,0,8,2,1,1,1,0,TRUE,1,16728,5,FALSE,1,5183512,2,1,159,14,172,159,14,172,137,1,137,0.0949105914718019,0.00137551581843191,0.0949105914718019,10,FALSE,FALSE,0,"1"
"24","0034b177e258bbbb6728bafc219b78359f7271f2",1322713772,0,0,7,2,2,1,1,0.76420450650862,TRUE,1,4841,2,FALSE,2,4311371,2,1,28,20,46,28,20,46,25,17,40,0.00923295454545455,0.00639204545454545,0.0145596590909091,9,FALSE,FALSE,0,"1"
"33","0042b5f0f2bef3d2affb3e7b44613d13830ee94a",1332156071,0,0,6,0,2,1,1,0.650022421648354,TRUE,1,116695,2,FALSE,8,1543960,10,3,242,254,254,241,253,253,212,223,223,0.0374802041175436,0.0394158015132852,0.0394158015132852,6,FALSE,FALSE,0,"3"
"38","0054505510b6f2bd20eb7648dbbcaa0e0a975d79",1331246060,0,0,296,0,1,1,1,0,TRUE,3,903737,6,FALSE,0,0,0,3,222,1063,1063,221,1062,1062,193,871,871,0.0359792284866469,0.161721068249258,0.161721068249258,296,FALSE,FALSE,0,"2"
"41","0058f00b64268f87a33466646513f7a527beeecc",1309173472,0,0,10,0,1,1,1,0,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,10,FALSE,FALSE,0,"0"
"44","0060b44d7045434583f14b5787211bafd045dd54",1332779001,0,0,320,312,8,3,1,0.414579084323764,TRUE,5,2404000,26,FALSE,29,359929.5,85,3,15,1797,1800,15,1796,1799,13,1220,1223,0.00236366706061118,0.206145534357589,0.206652034442006,632,FALSE,FALSE,0,"3"
"48","006a49b19ac100df587f23eb76dc4ba8855047a0",1331772075,0,0,24,0,8,4,1,0.951796180735844,TRUE,2,9695770,3,FALSE,24,40819.875,78,2,8,230,230,8,228,228,7,208,208,0.00143833153541891,0.0375764113628191,0.0375764113628191,24,FALSE,FALSE,0,"2"
"50","006c5a7d733437be021037fca6142b005dda4c4c",1320152641,0,0,2,2,2,2,1,1,TRUE,1,112805,3,FALSE,0,0,0,4,31,380,380,31,380,380,29,259,259,0.0299102691924227,0.259222333000997,0.259222333000997,4,FALSE,FALSE,0,"1"
"51","006edbd0d948e96713c2f983d2cedfa0c1798f61",1338373470,0,0,1,1,1,1,1,0,TRUE,1,499097,5,FALSE,9,1188585,20,3,1063,1956,2858,1063,1951,2853,944,1187,1989,0.121340523882897,0.152542372881356,0.255521314843349,2,FALSE,FALSE,0,"3"
"56","0074cc5d34a8ee314e864ba488dab1f0d0f94995",1334789820,0,0,1,24,2,2,2,0.242292189082415,TRUE,7,297075,21,FALSE,49,57568,176,3,141,224,224,141,224,224,135,206,206,0.0199853049228508,0.0304188096987509,0.0304188096987509,25,FALSE,FALSE,0,"3"
"63","00821ec710ec8d9549b9f7e68837a7393a954754",1330530804,0,0,74,0,2,2,2,0.53400427292854,TRUE,1,506827,5,FALSE,7,773443,29,4,135,959,959,135,959,959,131,927,927,0.0209957054238906,0.147606171464928,0.147606171464928,74,FALSE,FALSE,0,"2"
"68","00909a4262671c685dc4f5f004746d39fdcf29ad",1322258604,0,0,1,1,1,1,1,0,TRUE,1,208228,1,FALSE,3,1353814,4,2,147,201,201,146,200,200,58,81,81,0.0446969696969697,0.0621212121212121,0.0621212121212121,2,FALSE,FALSE,0,"1"
"69","0091439d07ad3fca5a7f3d90f2b6fe1b539198b0",1323162113,0,0,7,0,2,1,1,0.591672778582327,TRUE,1,503194,5,FALSE,4,1697073,27,4,158,284,284,158,284,284,150,247,247,0.0519257221458047,0.0852819807427785,0.0852819807427785,7,FALSE,FALSE,0,"1"
"70","009480275e0bfc471a7c315ac5f74e941c1e85ff",1316705284,0,0,10,10,1,1,1,0,TRUE,1,127758,3,FALSE,2,170245,2,2,190,203,363,190,203,363,175,166,314,0.115032679738562,0.109150326797386,0.205882352941176,20,FALSE,FALSE,0,"1"
"72","0097d2daba0d4482090705dee6465faa0967b7d1",1321587933,0,0,4,3,1,1,1,0,TRUE,1,314063,3,FALSE,3,930366,11,1,296,131,426,295,131,425,231,47,278,0.190789473684211,0.0394736842105263,0.229440789473684,7,FALSE,FALSE,0,"1"
"74","009cd671ec5a51ab360bce39262482ee1b86dc46",1326907423,0,0,3,3,2,2,2,0.91829583405449,TRUE,1,1765772,5,FALSE,7,13290,34,3,0,1053,1053,0,1051,1051,0,1012,1012,0.000210172341319882,0.212904581757041,0.212904581757041,6,FALSE,FALSE,0,"2"
"75","009e06553b4a29b497241ae1bca548fa122d8383",1315319945,0,0,1,11,8,4,1,0.972765278018163,TRUE,4,763491,3,TRUE,11,112044,19,1,25,25,25,25,25,25,21,21,21,0.0181368507831822,0.0181368507831822,0.0181368507831822,12,FALSE,FALSE,0,"0"
"76","009f3d14045e2e2a6eff8c87a8da9eaa621c5249",1313755550,0,0,5,0,2,1,1,0.721928094887362,TRUE,1,596966,1,FALSE,6,348087,9,2,56,121,121,56,121,121,53,116,116,0.0605381165919283,0.131165919282511,0.131165919282511,5,FALSE,FALSE,0,"0"
"91","00b961c37f82977615ab9c4d03e185229cc55154",1335532707,0,0,132,134,20,4,2,0.66298302450912,TRUE,2,89311,2,FALSE,17,1803901.06896552,87,2,265,987,987,265,987,987,144,796,796,0.0211277866822089,0.116129972315314,0.116129972315314,266,FALSE,FALSE,0,"3"
"94","00bb45fe9b3e9c68d9a2f2d5a469de4c2e1c6040",1333451055,0,0,270,1,2,2,1,0.15329427896005,TRUE,3,13517,5,FALSE,1,478016.5,3,1,23,21,39,23,21,39,20,18,34,0.00339476236663434,0.00307145166505011,0.00565793727772389,271,FALSE,FALSE,0,"3"
"95","00bf077b98bb53304bd9e487e9ad3d0734fb65af",1334271683,0,0,1,2,1,1,1,0,TRUE,6,428995,5,FALSE,5,9315,8,3,98,152,152,97,151,151,90,137,137,0.0141436120609263,0.0214485545539322,0.0214485545539322,3,FALSE,FALSE,0,"3"
"99","00c8984b4e48b2a7eadfee6c3cd0cbb19f586118",1325853820,0,0,16,15,5,4,2,0.781099580795614,TRUE,2,1623954,12,FALSE,16,117601,42,4,167,513,513,166,512,512,157,494,494,0.0364643434110316,0.114239556888991,0.114239556888991,31,FALSE,FALSE,0,"2"
"104","00d1e2f65edfb12186a3805a6c0124bb032f5b43",1328583131,0,0,32,28,2,1,1,0.783776947484701,TRUE,2,6941,2,FALSE,4,1204190,8,2,70,137,137,70,137,137,64,113,113,0.0149425287356322,0.0262068965517241,0.0262068965517241,60,FALSE,FALSE,0,"2"
"105","00d4b151123b5df415db9cd49d4683ac485cf1e7",1326194193,0,0,13,24,1,1,1,0,TRUE,1,35064,1,FALSE,2,457974,2,2,301,608,608,300,606,606,70,124,124,0.03964265773311,0.0697934115019542,0.0697934115019542,37,FALSE,FALSE,0,"2"
"118","00ee5a5d34f105701f5caf75368326c8009fc020",1317883967,0,0,2,0,1,1,1,0,TRUE,1,11401,1,FALSE,4,89375,23,2,156,182,182,156,182,182,146,170,170,0.0831918505942275,0.0967741935483871,0.0967741935483871,2,FALSE,FALSE,0,"1"
"121","00f3299e8b499e323c3e3d9552d518a872a0695a",1333109815,0,0,51,1,2,2,2,0.391243563629256,TRUE,3,697233,13,FALSE,4,217983.5,15,2,26,413,431,26,412,430,23,409,424,0.00322450624748085,0.0550853150611313,0.0571006314658068,52,FALSE,FALSE,0,"3"
"126","00f9ac93c248b019e72757da9c5d8121a5fd1bf5",1336724668,0,0,128,0,3,1,1,0.916126828229162,TRUE,10,3299716,34,FALSE,5,452631.666666667,7,1,7,483,490,7,478,485,0,148,148,0.00609756097560976,0.908536585365854,0.908536585365854,128,FALSE,FALSE,0,"3"
"128","00faa09aadfc6c6db9da639ba6b7866c72447e39",1339588060,0,0,6,0,2,1,1,0,TRUE,4,19808538,6,FALSE,2,12202216,4,4,1,1793,1793,1,1789,1789,1,1596,1596,0.000246184145741014,0.1965780403742,0.1965780403742,6,FALSE,FALSE,0,"3"
"131","0100242d3130f87c85986708f365e0df30b09d3f",1319553334,0,0,6,3,1,1,1,0,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,9,FALSE,FALSE,0,"1"
"134","0103f7bd2d2797dafef27e62ca3c63f25c4b9dfe",1336394797,0,0,44,35,6,1,6,0.794849583236476,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,79,FALSE,FALSE,0,"3"
"136","0107608634c31d7d0b7adc50325dda75b32cc4ec",1321020984,0,0,28,6,1,1,1,0,TRUE,1,439704,1,FALSE,2,83839,2,2,81,84,84,81,84,84,22,22,22,0.020052310374891,0.020052310374891,0.020052310374891,34,FALSE,FALSE,0,"1"
"138","0109f86e51497141516c567b0640128e167cc124",1320770103,0,0,6,5,2,1,1,0.684038435639042,TRUE,1,427128,1,FALSE,0,0,0,2,80,125,125,80,125,125,69,109,109,0.029723991507431,0.0467091295116773,0.0467091295116773,11,FALSE,FALSE,0,"1"
"140","010c7a9fb3a9d326e7595b5c95a80d99b4fe7e7e",1329405743,0,0,1,1,1,1,1,0,TRUE,1,41050,3,FALSE,1,1332355,1,1,6,135,138,6,135,138,6,124,127,0.0015015015015015,0.0268125268125268,0.0274560274560275,2,FALSE,FALSE,0,"2"
"142","011530ad3bdcb237323ade152bfa4a3a7c6996c8",1326683967,0,0,14,5,2,1,1,0.29747224891929,TRUE,1,4618,1,FALSE,1,593584,1,2,28,81,81,28,81,81,25,56,56,0.00704416147385532,0.0154429693849905,0.0154429693849905,19,FALSE,FALSE,0,"2"
