"","commit_id","author_date","bugcount","fixcount","la","ld","nf","nd","ns","ent","revd","nrev","rtime","hcmt","self","ndev","age","nuc","app","aexp","rexp","oexp","arexp","rrexp","orexp","asexp","rsexp","osexp","asawr","rsawr","osawr","churn","buggy","fix","bugdens","strata"
"19","0026b80cd2a484ad9d685ff5a4f89e6c9815f913",1342613566,0,0,41,27,3,1,1,0.861487256531131,TRUE,12,452275,24,FALSE,15,14285,22,5,118,2685,2685,118,2649,2649,111,2152,2152,0.0126739843838407,0.243634717664366,0.243634717664366,68,FALSE,FALSE,0,"4"
"31","003d294cd6cd0567a24cddb7e27ba5880fd2a599",1340717537,0,0,5,8,2,1,1,0.619382194678764,TRUE,1,24762,2,FALSE,12,162,43,3,578,1757,1757,564,1742,1742,172,177,177,0.920212765957447,0.946808510638298,0.946808510638298,13,FALSE,FALSE,0,"4"
"49","006b620ef9390e9396c69db74e31785b04a5d2d6",1342600676,0,0,1,1,1,1,1,0,TRUE,1,55111,2,FALSE,3,6191288,7,2,205,1139,1139,197,1124,1124,100,848,848,0.0114382785956965,0.0961494903737259,0.0961494903737259,2,FALSE,FALSE,0,"4"
"53","007204544c4fd8c75b6c61d240f203a9cabc7591",1341220796,0,0,13,4,1,1,1,0,TRUE,1,35473,2,FALSE,7,2399019,13,3,357,953,953,357,945,945,297,828,828,0.0351042525621392,0.0976557898456826,0.0976557898456826,17,FALSE,FALSE,0,"4"
"79","00a201aa3fcca045eb7e2217b73505e041eaf4c2",1343034207,0,0,13,1,6,1,1,0.975503759006109,TRUE,1,10259,1,FALSE,2,15650736,5,2,648,1579,1579,626,1550,1550,8,40,40,0.0223325062034739,0.101736972704715,0.101736972704715,14,FALSE,FALSE,0,"4"
"93","00bafafbee3db66738ad5e96fcc69a480adc7428",1341837563,0,0,23,4,1,1,1,0,TRUE,1,336536,3,FALSE,4,10259780,13,2,917,1191,1191,913,1177,1177,734,985,985,0.0848925848925849,0.113883113883114,0.113883113883114,27,FALSE,FALSE,0,"4"
"100","00c8a43632b2b28421d7efc20e46b44a36e36134",1343217323,0,0,5,125,2,1,1,0.302515746788995,TRUE,2,71376,5,FALSE,10,650494,26,3,998,1208,2138,988,1196,2116,774,921,1634,0.0864955357142857,0.102901785714286,0.182477678571429,130,FALSE,FALSE,0,"4"
"109","00d782ea94b36cb2edbc60697ce63c63a758b8ed",1346829663,0,0,1,7,2,1,1,0.543564443199596,TRUE,1,6962,2,FALSE,1,4111285,2,1,752,11,763,722,11,733,334,11,345,0.0346038632372689,0.00123954136969321,0.035740109492821,8,FALSE,FALSE,0,"4"
"132","0102f34f1ebe91aaff6fb2edc83a7ebf7ffb4d1e",1346688377,0,0,40,17,3,2,2,0.836268352912792,TRUE,6,126361,12,FALSE,22,745028,64,4,3,3217,3220,2,3088,3090,3,3055,3058,0.000348280365694384,0.266086199390509,0.26634740966478,57,FALSE,FALSE,0,"4"
"133","010398c9b013fdad0580fcebd61c42aa73a6b346",1340155912,2,0,72,3,13,1,1,0.74552379717315,TRUE,1,412251,3,FALSE,37,477172.230769231,150,2,30,564,577,30,551,564,29,290,303,0.00364963503649635,0.0354014598540146,0.0369829683698297,75,TRUE,FALSE,0.0266666666666667,"4"
"137","0108484908c1fb7bc49938ac39080effa2e6ac72",1342653398,0,0,2,2,1,1,1,0,TRUE,1,50908,2,FALSE,2,15267554,4,1,27,386,406,27,375,395,26,250,269,0.00305188199389624,0.0283711992765909,0.0305188199389624,4,FALSE,FALSE,0,"4"
"143","01173fd0c09e51ca949df51fac2fa7e439e466d1",1341277442,0,0,21,1,3,2,2,0.691369830202511,TRUE,2,23031,2,FALSE,15,1747412,19,2,70,728,728,70,725,725,68,720,720,0.00678933385811276,0.0709436190101348,0.0709436190101348,22,FALSE,FALSE,0,"4"
"145","011e151c4e010793a004303c67e0df1aa002dfe2",1343393460,0,0,46,23,21,3,1,0.990285649671236,TRUE,1,3616,2,FALSE,20,673429.523809524,99,1,33,216,246,33,212,242,23,105,126,0.00266400266400266,0.0117660117660118,0.0140970140970141,69,FALSE,FALSE,0,"4"
"147","0123e47e1507000fc13027c575608879e13fe2ba",1344848067,0,0,2,2,2,1,1,1,TRUE,1,31890,2,FALSE,1,17465513,3,3,503,1545,1545,502,1515,1515,13,47,47,0.0328638497652582,0.112676056338028,0.112676056338028,4,FALSE,FALSE,0,"4"
"165","0142b112698a2564ae5ae4427143e0bba19b722b",1341897273,0,0,4,20,1,1,1,0,TRUE,1,123758,1,FALSE,16,342540,79,2,411,964,964,407,957,957,333,819,819,0.0385147601476015,0.0945571955719557,0.0945571955719557,24,FALSE,FALSE,0,"4"
"172","014ae2ad04cb0d42b95fa19ff3c007591256d3d4",1347279041,0,1,1,3,2,2,2,0.811278124459133,TRUE,1,78996,2,FALSE,10,256286,19,3,263,1444,1444,240,1337,1337,260,1406,1406,0.022459340848464,0.121073917907237,0.121073917907237,4,FALSE,TRUE,0,"4"
"184","015a5e0dcad0bca55d10822f6300b77a95fb69d6",1345563363,0,0,5,3,1,1,1,0,TRUE,1,66412,4,FALSE,26,2261555,66,1,727,1067,1707,692,1030,1636,667,940,1523,0.0704715687308788,0.0992720751134086,0.160776453212364,8,FALSE,FALSE,0,"4"
"192","016695c7c79b05392daa09c1b9e07417f764e909",1341439421,0,0,28,13,2,1,1,0.712064054890548,TRUE,1,299247,7,FALSE,7,2752,25,4,490,2634,2634,489,2612,2612,396,1723,1723,0.0464001870032726,0.201496026180458,0.201496026180458,41,FALSE,FALSE,0,"4"
"208","018cd808fd8dbe5ccd88021d50b6b16162ab0631",1341233395,1,0,3,1,1,1,1,0,TRUE,1,14619,0,TRUE,4,613445,7,1,230,230,230,230,230,230,190,190,190,0.0224838140082401,0.0224838140082401,0.0224838140082401,4,TRUE,FALSE,0.25,"4"
"219","019c6d6628c496508c07d0fdd8674218985b9c0e",1341934307,0,0,4,4,2,1,1,1,TRUE,1,628943,4,FALSE,3,4085746,5,3,38,1015,1031,38,992,1008,36,632,648,0.00425678785089738,0.0728255867464335,0.0746663598711459,8,FALSE,FALSE,0,"4"
"271","02176c538e7eb8527e6d079447e4e8194c63a231",1346845647,0,0,1,1,1,1,1,0,TRUE,1,223390,3,FALSE,5,3719574,20,2,385,1792,1792,372,1765,1765,322,1545,1545,0.0333161423414131,0.159463641052089,0.159463641052089,2,FALSE,FALSE,0,"4"
"286","022e3a358dcc6815d28a5103eb6562d4dc045a7c",1345714665,0,0,8,4,1,1,1,0,TRUE,2,22297,4,FALSE,18,426749,48,3,526,1259,1259,525,1247,1247,425,1040,1040,0.044832666806988,0.109555882972006,0.109555882972006,12,FALSE,FALSE,0,"4"
"288","022f8ebd1387623c5d524c7dc71ae3237ff05d81",1342441788,0,0,18,57,7,1,1,0.662217153471009,TRUE,2,368210,3,FALSE,12,1498,42,3,627,1575,1575,606,1548,1548,196,202,202,0.924882629107981,0.953051643192488,0.953051643192488,75,FALSE,FALSE,0,"4"
"291","02324af27c8784e8df430de9f21080263a1cf4d0",1343692827,0,0,17,16,6,1,1,0.878227744014153,TRUE,2,171225,2,FALSE,6,290535,10,2,223,599,599,212,575,575,185,481,481,0.0205683954439898,0.0533008957204468,0.0533008957204468,33,FALSE,FALSE,0,"4"
"315","026503152d827d9f42e3424613ecf60aa12b8585",1341686415,0,0,26,1,1,1,1,0,TRUE,4,288762,2,FALSE,5,3388610,11,3,107,2099,2099,107,2079,2079,100,1317,1317,0.0117033603707995,0.152723059096176,0.152723059096176,27,FALSE,FALSE,0,"4"
